gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
NRG1,2.24649898812876,8.361467893175,17.4467481765035,1.09350129431776e-20,1.57313835815415e-16,36.7173012156772
L1CAM,3.98507776602698,11.20126381495,17.2059590654849,1.81571832658605e-20,1.57313835815415e-16,36.2342102064393
GPR155,3.22567279711951,10.34183378875,15.9627106792168,2.71992605540256e-19,1.57102928960052e-15,33.6435846650162
MOXD1,2.9493065073431,10.42497174375,15.511957174124,7.5401028460027e-19,3.26637255288837e-15,32.6627767933765
BDKRB2,-1.6830707947155,7.78382433635,-14.9762188105004,2.59934739958986e-18,9.00829834801863e-15,31.4689695424445
NLGN4X,2.54033397623824,9.7695970577,14.6491676908412,5.63791039951076e-18,1.62822852337871e-14,30.7203892289753
NCAM2,2.76006595202236,10.071999247075,14.5394988322417,7.32345046607072e-18,1.81286785251534e-14,30.4671990864688
FCGBP,3.14337433953817,9.950862081975,14.0913829100735,2.16276549075368e-17,3.59580682001826e-14,29.4174875849072
EHBP1,2.05839585952969,10.788281347475,14.0772882497229,2.2385311670099e-17,3.59580682001826e-14,29.3840716622344
SCN9A,2.30007306218273,8.33179516865,14.0696022937443,2.28098138279833e-17,3.59580682001826e-14,29.3658392886859
CDH19,3.46951275893832,10.764415848275,14.0693019651024,2.28265668399128e-17,3.59580682001826e-14,29.3651267106288
ATF7IP2,2.0202601556222,7.442210586925,14.0258057742853,2.53903079723622e-17,3.6663604712091e-14,29.2618071269338
PRRX1,-3.02065103459599,8.0263697783,-13.9926418944955,2.75408951838833e-17,3.67098947497177e-14,29.1828730967407
SLC35F1,2.3971609271172,10.477124672575,13.9382539100059,3.14778866545172e-17,3.8960629996391e-14,29.053127436036
HRH1,-1.59148918529607,6.917716875375,-13.8253293406662,4.15876159876108e-17,4.8042013988888e-14,28.7825620160258
IFI44,2.59447874633385,8.476935794875,13.333018365364,1.42534517113086e-16,1.54364882033472e-13,27.5842178361348
RASSF4,2.73019276535235,10.1019043225,13.2439537699052,1.78665510917825e-16,1.82112704304946e-13,27.3641242827321
