gene,logFC,P.Value,adj.P.Val
NRG1,2.24649898812876,1.09350129431776e-20,1.57313835815415e-16
L1CAM,3.98507776602698,1.81571832658605e-20,1.57313835815415e-16
GPR155,3.22567279711951,2.71992605540256e-19,1.57102928960052e-15
MOXD1,2.9493065073431,7.5401028460027e-19,3.26637255288837e-15
BDKRB2,-1.6830707947155,2.59934739958986e-18,9.00829834801863e-15
NLGN4X,2.54033397623824,5.63791039951076e-18,1.62822852337871e-14
NCAM2,2.76006595202236,7.32345046607072e-18,1.81286785251534e-14
FCGBP,3.14337433953817,2.16276549075368e-17,3.59580682001826e-14
EHBP1,2.05839585952969,2.2385311670099e-17,3.59580682001826e-14
SCN9A,2.30007306218273,2.28098138279833e-17,3.59580682001826e-14
CDH19,3.46951275893832,2.28265668399128e-17,3.59580682001826e-14
ATF7IP2,2.0202601556222,2.53903079723622e-17,3.6663604712091e-14
PRRX1,-3.02065103459599,2.75408951838833e-17,3.67098947497177e-14
SLC35F1,2.3971609271172,3.14778866545172e-17,3.8960629996391e-14
HRH1,-1.59148918529607,4.15876159876108e-17,4.8042013988888e-14
IFI44,2.59447874633385,1.42534517113086e-16,1.54364882033472e-13
RASSF4,2.73019276535235,1.78665510917825e-16,1.82112704304946e-13
AR,-1.08179048347648,2.20344182681833e-16,2.12117999861711e-13
ALDH3B1,1.44271529113107,2.49011377729154e-16,2.27098376488988e-13
PRIMA1,2.24036770984503,2.64742264377666e-16,2.2937269785681e-13
LGI4,2.63774359106014,2.9121062568209e-16,2.40290367705679e-13
GRB14,2.93027134282884,3.77287492193698e-16,2.97165348396927e-13
KCTD1,1.76417942196299,5.42421931392814e-16,3.93379566117465e-13
PDGFD,2.52102636918273,5.44847044484023e-16,3.93379566117465e-13
LRMDA,1.60581709572784,6.54436696610756e-16,4.53603163154847e-13
PROS1,2.30438355822668,6.9919559179631e-16,4.65986969794094e-13
PTPRJ,1.54188994508559,7.8887357768959e-16,5.05911902891027e-13
SCN7A,3.64605147840941,8.17493841236655e-16,5.05911902891027e-13
POPDC1,1.94234982372552,1.04919974243172e-15,6.2615431010234e-13
RRM2B,1.5930803883431,1.08406217122981e-15,6.2615431010234e-13
NIM1K,2.09380132235621,1.19381110745818e-15,6.67301899033398e-13
CHL1,3.09456496908404,1.24317187851565e-15,6.73177572216222e-13
PLA2G2A,-2.75044678238088,1.40514426899973e-15,7.37828481612949e-13
ARHGAP15,2.89591876648497,1.62374988941182e-15,8.01675436270358e-13
IFIT3,2.35214454365844,1.70175547498271e-15,8.01675436270358e-13
ALDH1A1,2.87219547688281,1.71107675488882e-15,8.01675436270358e-13
PAWR,-1.12787998503238,1.71179542601588e-15,8.01675436270358e-13
FSTL3,1.43353200778412,1.79548486181775e-15,8.18741096988894e-13
PDZD2,2.56001570504703,1.89259743416853e-15,8.40895598442881e-13
SLC16A7,-1.5278691966276,2.16873701982634e-15,9.19007482864573e-13
ARHGEF26,2.69407597807171,2.22751121192937e-15,9.19007482864573e-13
IFIT2,2.35624461088744,3.40415689875014e-15,1.3717960637568e-12
MIR1915HG,2.73460499671627,3.70863780776185e-15,1.46052899847494e-12
ASS1,-1.84372547330069,3.83140086616754e-15,1.47534476019892e-12
KCNMB4,2.30494496324904,7.59744999380291e-15,2.86192638027428e-12
JAKMIP2,2.31392950279414,8.33238308087933e-15,3.07199008564845e-12
VLDLR,2.22164568815652,1.01685621361465e-14,3.66272897295761e-12
NRXN1,2.55282899089129,1.03574399627726e-14,3.66272897295761e-12
LOC653653,2.51315545809792,1.10275360294094e-14,3.82170288635214e-12
ST6GALNAC2,2.5353096514973,1.24028906339375e-14,4.21406448833077e-12
FOXP2,-1.24795212342945,1.39802114587195e-14,4.65795535210926e-12
ANK3,2.41360839996531,1.42469779352372e-14,4.65795535210926e-12
PDE1C,1.54964784448034,1.4857095735995e-14,4.7674769428393e-12
CLMP,-1.89879292869622,2.36175529681191e-14,7.28035245035821e-12
ARHGAP24,1.6093174779229,2.36782152886493e-14,7.28035245035821e-12
PPFIBP2,1.59844644115266,2.39485277972309e-14,7.28035245035821e-12
RCAN3,1.44529347103932,2.45676686914841e-14,7.33980281182821e-12
SLIT2,2.43801622682961,2.56419842464156e-14,7.53092039020152e-12
RENBP,1.21845005830224,2.75572291468252e-14,7.95852777760312e-12
IL34,1.98184804847109,2.90730872402261e-14,8.25866320817439e-12
PI16,-2.45110687645952,3.95119158034605e-14,1.10429431781026e-11
STS,2.07332262642791,4.13860452848377e-14,1.13831332173916e-11
MET,2.20364965756052,4.47886912540356e-14,1.21265381570301e-11
CCND1,1.62749978802853,4.83499995784486e-14,1.2889366041467e-11
CCDC9B,1.28158751753585,4.93529398230062e-14,1.29573900189856e-11
KCNJ15,-1.34280532483731,5.19880648206012e-14,1.34455102568862e-11
PAK3,-2.11744213773169,5.4971580665866e-14,1.40080522026195e-11
SORCS1,2.43272390078489,6.2079969715783e-14,1.55491131335179e-11
SDC3,1.61358616399769,6.28138226769537e-14,1.55491131335179e-11
GPR34,3.57715594829298,6.86773027052278e-14,1.676113100389e-11
GFRA1,2.17695898543717,7.73362556050039e-14,1.84268300834621e-11
ADAM23,3.23099041546723,7.76291895252038e-14,1.84268300834621e-11
AFDN,-1.54152593546106,8.72568838359565e-14,2.04322605825602e-11
ZNF347,2.20932388272167,8.85824109493864e-14,2.04660802257462e-11
MARCHF1,1.91409955121974,9.29812482649421e-14,2.10364878316034e-11
FCGR3A,3.0853493726091,1.0609614890668e-13,2.35696675417302e-11
RAB3C,-1.26123363403701,1.16929921808511e-13,2.56476162670617e-11
SPATA18,1.80747274063608,1.22478119724236e-13,2.62211759619229e-11
AHR,1.86115715594218,1.23003819427879e-13,2.62211759619229e-11
LGALS3BP,1.70577841284118,1.24187607719556e-13,2.62211759619229e-11
MCAM,1.93450001753971,1.2559773804476e-13,2.62211759619229e-11
TUBB2B,1.65630017832074,1.53145801674512e-13,3.1591791088285e-11
MFSD11,1.16849534049036,1.71190845402736e-13,3.46713102061669e-11
SEMA3B,2.39043737306477,1.72075985556922e-13,3.46713102061669e-11
NRCAM,2.4107897716569,1.84702394108197e-13,3.67876216678947e-11
DHRS3,1.39533378988281,1.88718912068867e-13,3.71604694128333e-11
RAB31,1.53927247963763,2.10117845372273e-13,4.09092362315815e-11
AK3,1.13176549778258,2.23250960465551e-13,4.29832515883008e-11
HPS5,1.63957722372244,2.30766393319166e-13,4.39419787190604e-11
ARSK,1.57354672762375,2.40182984849576e-13,4.5237943059494e-11
GAL3ST4,1.36184340383501,2.79046034889414e-13,5.19925773393954e-11
TJP2,-1.84906183566075,2.89356289067032e-13,5.33400614569524e-11
APOL4,-1.29646911157594,3.22831059458819e-13,5.88843852452886e-11
GFRA3,3.60499927038551,3.39862738960598e-13,6.0712799388755e-11
PTCHD4,1.89627607364071,3.52792297099329e-13,6.23794380013997e-11
CYB5R1,1.17162554922282,3.75288258109837e-13,6.56868175406794e-11
TMEM62,1.12970386384426,3.85600733303243e-13,6.6816895066786e-11
TMEM245,1.31794069880416,3.92342424084432e-13,6.73119754904458e-11
P2RY12,2.58332190420895,4.64068545589658e-13,7.80716481357049e-11
FABP4,-3.92368937910717,4.88218663663951e-13,8.13447404227783e-11
CCDC184,1.54783546587664,4.99472572361146e-13,8.24272450845137e-11
