ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030198,extracellular matrix organization,30/385,339/18805,0.0884955752212389,4.32249166762441,8.92458452332819,1.82141856007432e-11,2.79260462968348e-08,2.06141092112921e-08,FBLN1/ADAMTS3/THSD4/PDGFRA/CAV1/DPT/TLL1/PRICKLE1/TNXB/CCDC80/DPP4/CREB3L1/HAS2/CTSG/ADAMTS12/SFRP2/ADAMTS1/TNR/FLRT2/PPARG/GREM1/MYH11/VIT/AGT/FAP/IL6/ADAMTS4/CAV2/CYP1B1/MMP1,30
GO:0043062,extracellular structure organization,30/385,340/18805,0.0882352941176471,4.30977845683728,8.90377958580771,1.96081530444447e-11,2.79260462968348e-08,2.06141092112921e-08,FBLN1/ADAMTS3/THSD4/PDGFRA/CAV1/DPT/TLL1/PRICKLE1/TNXB/CCDC80/DPP4/CREB3L1/HAS2/CTSG/ADAMTS12/SFRP2/ADAMTS1/TNR/FLRT2/PPARG/GREM1/MYH11/VIT/AGT/FAP/IL6/ADAMTS4/CAV2/CYP1B1/MMP1,30
GO:0045229,external encapsulating structure organization,30/385,341/18805,0.0879765395894428,4.29713981033629,8.88305456862237,2.11028057658701e-11,2.79260462968348e-08,2.06141092112921e-08,FBLN1/ADAMTS3/THSD4/PDGFRA/CAV1/DPT/TLL1/PRICKLE1/TNXB/CCDC80/DPP4/CREB3L1/HAS2/CTSG/ADAMTS12/SFRP2/ADAMTS1/TNR/FLRT2/PPARG/GREM1/MYH11/VIT/AGT/FAP/IL6/ADAMTS4/CAV2/CYP1B1/MMP1,30
GO:0006935,chemotaxis,34/385,466/18805,0.0729613733905579,3.56373669249206,8.10194378037113,1.56888308513262e-10,1.16323176735432e-07,8.5866027848719e-08,CXCL1/ANGPT1/CCL21/PDGFRA/FGF10/CMTM2/RIPOR2/CXCR1/FFAR2/DPP4/CXCR2/CTSG/PROK2/THBS4/S100A12/CCL19/CXCL2/FPR2/CCL7/SAA1/ROBO1/CXCL8/S100A9/FLRT2/DEFA1B/NTRK3/GREM1/SLIT3/PPBP/VCAM1/IL6/TREM1/S100A8/DEFB4A,34
GO:0050900,leukocyte migration,31/385,395/18805,0.0784810126582279,3.83333881308565,8.22774527093844,1.74769404555458e-10,1.16323176735432e-07,8.5866027848719e-08,CCL21/TACR1/RIPOR2/SELE/CXCR1/CD177/FFAR2/DPP4/CXCR2/CTSG/THBS4/SELP/S100A12/CCL19/FPR2/IL1R1/CCL7/SAA1/IL33/CXCL8/LYVE1/KITLG/S100A9/DEFA1B/GREM1/PPBP/VCAM1/IL6/TREM1/ICAM1/S100A8,31
GO:0042330,taxis,34/385,468/18805,0.0726495726495727,3.54850704850705,8.07151942345454,1.75803289776472e-10,1.16323176735432e-07,8.5866027848719e-08,CXCL1/ANGPT1/CCL21/PDGFRA/FGF10/CMTM2/RIPOR2/CXCR1/FFAR2/DPP4/CXCR2/CTSG/PROK2/THBS4/S100A12/CCL19/CXCL2/FPR2/CCL7/SAA1/ROBO1/CXCL8/S100A9/FLRT2/DEFA1B/NTRK3/GREM1/SLIT3/PPBP/VCAM1/IL6/TREM1/S100A8/DEFB4A,34
GO:1901654,response to ketone,23/385,225/18805,0.102222222222222,4.99295815295815,8.71111678322173,2.60789854281088e-10,1.47905103070845e-07,1.0917879012309e-07,AR/ASS1/DSG2/EGFR/CCL21/CAV1/TACR1/INHBA/GHR/TGFB3/ADCY2/AKR1C2/CCL19/F5/ADCY8/PTGER2/ERRFI1/AQP1/SLIT3/AKR1C3/CYP1B1/CLDN1/TNC,23
GO:0045444,fat cell differentiation,24/385,252/18805,0.0952380952380952,4.65182436611008,8.43749936642169,4.5588287871307e-10,2.26231878561361e-07,1.66997096623314e-07,FABP4/ZFPM2/PDGFRA/FGF10/ZBTB7C/FNDC5/KLF5/FFAR2/STEAP4/SFRP2/C1QTNF3/LRG1/SIX1/RUNX1T1/MEDAG/ADIPOQ/ADIRF/SNAI2/PPARG/FABP3/LMO3/CCDC3/IL6/EBF2,24
GO:1990266,neutrophil migration,16/385,107/18805,0.149532710280374,7.30379900473358,9.4538202700688,5.55835984595467e-10,2.45185428760445e-07,1.80987997791085e-07,CCL21/RIPOR2/CXCR1/CD177/DPP4/CXCR2/THBS4/S100A12/CCL19/IL1R1/SAA1/CXCL8/S100A9/PPBP/TREM1/S100A8,16
GO:0003018,vascular process in circulatory system,25/385,278/18805,0.0899280575539568,4.39246005792768,8.23844531618373,6.59076272369142e-10,2.61653280130549e-07,1.9314403602902e-07,BDKRB2/HRH1/SLC16A7/TJP2/EGFR/PDE3A/ANGPT1/SLC22A3/CAV1/TACR1/SLC24A3/ABCC9/NPR1/CXCR2/NOS1/EDNRA/SVEP1/SLCO1C1/SLC1A2/HTR1D/SLC4A4/SLC7A2/AGT/CD36/SLC2A3,25
GO:0030593,neutrophil chemotaxis,14/385,84/18805,0.166666666666667,8.14069264069264,9.48257168412771,1.5550919519414e-09,5.61246822655215e-07,4.14294353512427e-07,CCL21/RIPOR2/CXCR1/DPP4/CXCR2/THBS4/S100A12/CCL19/SAA1/CXCL8/S100A9/PPBP/TREM1/S100A8,14
GO:0031640,killing of cells of another organism,16/385,119/18805,0.134453781512605,6.56728145803776,8.80783478099961,2.75853849155812e-09,8.42415216268135e-07,6.21843818663791e-07,PLA2G2A/CXCL1/CCL21/C6/CTSG/S100A12/CCL19/CXCL2/CXCL8/DEFA1B/DAO/PPBP/TREM1/DEFB128/DEFB4A/C7,16
GO:0141061,disruption of cell in another organism,16/385,119/18805,0.134453781512605,6.56728145803776,8.80783478099961,2.75853849155812e-09,8.42415216268135e-07,6.21843818663791e-07,PLA2G2A/CXCL1/CCL21/C6/CTSG/S100A12/CCL19/CXCL2/CXCL8/DEFA1B/DAO/PPBP/TREM1/DEFB128/DEFB4A/C7,16
GO:0097529,myeloid leukocyte migration,22/385,237/18805,0.0928270042194093,4.53405666063894,7.91545329191023,3.96853133774794e-09,1.12536210077567e-06,8.30706108593253e-07,CCL21/RIPOR2/CXCR1/CD177/DPP4/CXCR2/CTSG/THBS4/S100A12/CCL19/FPR2/IL1R1/CCL7/SAA1/CXCL8/KITLG/S100A9/GREM1/PPBP/IL6/TREM1/S100A8,22
GO:0141060,disruption of anatomical structure in another organism,16/385,123/18805,0.130081300813008,6.35371132932109,8.61204906355587,4.50470385581095e-09,1.19224495383797e-06,8.80076879619488e-07,PLA2G2A/CXCL1/CCL21/C6/CTSG/S100A12/CCL19/CXCL2/CXCL8/DEFA1B/DAO/PPBP/TREM1/DEFB128/DEFB4A/C7,16
GO:0097530,granulocyte migration,17/385,149/18805,0.114093959731544,5.57282315000436,8.10175202761193,1.12049645146443e-08,2.78023182019612e-06,2.05227771110327e-06,CCL21/RIPOR2/CXCR1/CD177/DPP4/CXCR2/THBS4/S100A12/CCL19/IL1R1/CCL7/SAA1/CXCL8/S100A9/PPBP/TREM1/S100A8,17
GO:0060537,muscle tissue development,30/385,446/18805,0.0672645739910314,3.28548133480869,7.06205784193253,1.28463124822682e-08,2.9999917973297e-06,2.21449745824364e-06,PI16/ZFPM2/SHOX2/DSG2/PDGFRA/EYA1/CAV1/ABCC9/GLI1/TBX18/PRICKLE1/TNNT2/FGFR2/KLF5/MEOX2/OSR1/EDNRA/SIX1/RGS4/ACTN2/MSC/TNNC1/KCNK2/DNER/DSP/RBP4/GREM1/MYH11/CAV2/IGF2,30
GO:0014706,striated muscle tissue development,29/385,423/18805,0.0685579196217494,3.34865371035584,7.06323188372539,1.48864791893457e-08,3.28329568787235e-06,2.4236232785461e-06,PI16/ZFPM2/SHOX2/DSG2/PDGFRA/EYA1/CAV1/ABCC9/GLI1/TBX18/PRICKLE1/TNNT2/FGFR2/KLF5/MEOX2/EDNRA/SIX1/RGS4/ACTN2/MSC/TNNC1/KCNK2/DNER/DSP/RBP4/GREM1/MYH11/CAV2/IGF2,29
GO:0030595,leukocyte chemotaxis,21/385,234/18805,0.0897435897435897,4.38344988344988,7.52940580944683,1.6359079648807e-08,3.41818664240861e-06,2.52319544278552e-06,CCL21/RIPOR2/CXCR1/FFAR2/DPP4/CXCR2/CTSG/THBS4/S100A12/CCL19/FPR2/CCL7/SAA1/CXCL8/S100A9/DEFA1B/GREM1/PPBP/IL6/TREM1/S100A8,21
GO:0071621,granulocyte chemotaxis,15/385,122/18805,0.122950819672131,6.00542899723228,8.01878532181232,2.98639337069488e-08,5.92799084082933e-06,4.37585218106028e-06,CCL21/RIPOR2/CXCR1/DPP4/CXCR2/THBS4/S100A12/CCL19/CCL7/SAA1/CXCL8/S100A9/PPBP/TREM1/S100A8,15
GO:0048545,response to steroid hormone,25/385,338/18805,0.0739644970414201,3.61273342042573,7.00754586847068,3.48019809277834e-08,6.5792316325381e-06,4.85657718811775e-06,AR/ASS1/DSG2/EGFR/PDE3A/CAV1/TACR1/INHBA/GHR/TGFB3/PTGER2/CDO1/ERRFI1/ADIPOQ/AQP1/DEFA1B/FAM107A/SLIT3/TFPI/AKR1C3/LMO3/IL6/STC1/CYP1B1/CLDN1,25
GO:0003007,heart morphogenesis,22/385,272/18805,0.0808823529411765,3.95063025210084,7.08658585522966,4.87905586139996e-08,8.80447807716265e-06,6.49918254456339e-06,ZFPM2/SHOX2/EYA1/ABCC9/PRICKLE1/TNNT2/FGFR2/HAS2/MICAL2/APLNR/EDNRA/SFRP2/ADAMTS1/SIX1/ROBO1/TNNC1/CPE/FLRT2/DSP/SNAI2/RBP4/SLIT3,22
GO:0097305,response to alcohol,22/385,276/18805,0.0797101449275362,3.89337474120083,7.00073936399426,6.3240402870741e-08,1.09158434520366e-05,8.05772455799281e-06,CCL21/ADCYAP1R1/TACR1/INHBA/FGFR2/GHR/ADCY2/AKR1C2/CCL19/ADCY8/PTGER2/CDO1/RGS4/CCL7/ADIPOQ/SLIT3/VCAM1/AKR1C3/CYP1B1/CLDN1/TNC/S100A8,22
GO:0060326,cell chemotaxis,24/385,325/18805,0.0738461538461539,3.60695304695305,6.85384974716437,6.77507509804619e-08,1.12071033913514e-05,8.27272327761429e-06,CCL21/PDGFRA/RIPOR2/CXCR1/FFAR2/DPP4/CXCR2/CTSG/THBS4/S100A12/CCL19/FPR2/CCL7/SAA1/CXCL8/S100A9/DEFA1B/GREM1/PPBP/VCAM1/IL6/TREM1/S100A8/DEFB4A,24
GO:0002687,positive regulation of leukocyte migration,16/385,152/18805,0.105263157894737,5.14149008885851,7.41164736924973,9.50530539062446e-08,1.50944249603116e-05,1.11422190347362e-05,CCL21/TACR1/RIPOR2/SELE/CXCR2/THBS4/SELP/CCL19/FPR2/IL1R1/CCL7/CXCL8/LYVE1/KITLG/IL6/ICAM1,16
GO:0046683,response to organophosphorus,15/385,135/18805,0.111111111111111,5.42712842712843,7.46324191266685,1.17198562324924e-07,1.78953189396133e-05,1.32097488871493e-05,ASS1/PDE3A/AKR1C1/ABCC9/RYR3/GPD1/AQP9/CDO1/ERRFI1/ADIPOQ/AQP1/THBD/STC1/NT5E/CYP1B1,15
