ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0007409,axonogenesis,73/936,459/18805,0.159041394335512,3.19527074837532,10.8977454628074,7.24724850620317e-19,3.77944009598495e-15,2.98815498934714e-15,L1CAM/PTPRJ/CHL1/NRXN1/ANK3/SLIT2/TUBB2B/SEMA3B/NRCAM/GFRA3/SEMA7A/SEMA4B/NCAM1/NRXN3/ADAM17/ERBB2/DAG1/BCL2/SCN1B/COBL/SPP1/UCHL1/CDH1/CSF1R/PTPRZ1/KIF5A/ALCAM/PLXNA3/SIPA1L1/SLITRK2/EMB/ATL1/EPHA3/USP9X/SLITRK5/SEMA3C/PLXNB2/CNTN4/CYFIP2/RPS6KA5/SEMA5A/PLXNB3/CNP/FEZ1/WDR47/RELN/FLRT3/NTRK2/SHTN1/SEMA6D/CYFIP1/KIF13B/S100B/CHN1/RAB10/SPART/MAP2/EPHA5/KIF21A/PAK2/KIFBP/LAMA2/ANOS1/NLGN3/APOE/BMP7/MATN2/SEMA3D/GAP43/THY1/CNTN1/NTN4/NEFL,73
GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,18/936,35/18805,0.514285714285714,10.3324175824176,12.6476247070617,6.09930863623358e-15,1.59039472689791e-11,1.25742062779615e-11,MARCHF1/TREM2/HLA-DOA/UNC93B1/HLA-DMB/HLA-DMA/HLA-DPB1/CTSD/HLA-DPA1/HLA-DRA/CD74/HLA-DQA1/FCGR2B/HLA-DRB3/FCER1G/HLA-DQB1/IFI30/HLA-DRB5,18
GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,18/936,37/18805,0.486486486486487,9.77390852390852,12.2263799535035,2.16100578977494e-14,3.7565483978921e-11,2.97005602756085e-11,MARCHF1/TREM2/HLA-DOA/UNC93B1/HLA-DMB/HLA-DMA/HLA-DPB1/CTSD/HLA-DPA1/HLA-DRA/CD74/HLA-DQA1/FCGR2B/HLA-DRB3/FCER1G/HLA-DQB1/IFI30/HLA-DRB5,18
GO:0007411,axon guidance,44/936,238/18805,0.184873949579832,3.71426775838541,9.64457775985541,3.35964303541855e-14,4.09427556867575e-11,3.23707471413492e-11,L1CAM/PTPRJ/CHL1/NRXN1/SLIT2/TUBB2B/SEMA3B/NRCAM/GFRA3/SEMA7A/SEMA4B/NCAM1/NRXN3/ADAM17/ERBB2/DAG1/SCN1B/CSF1R/KIF5A/ALCAM/PLXNA3/EMB/EPHA3/SEMA3C/CNTN4/CYFIP2/RPS6KA5/SEMA5A/FEZ1/RELN/FLRT3/SEMA6D/CYFIP1/CHN1/EPHA5/KIF21A/LAMA2/ANOS1/BMP7/MATN2/SEMA3D/GAP43/CNTN1/NTN4,44
GO:0097485,neuron projection guidance,44/936,239/18805,0.184100418410042,3.69872688910346,9.60973993894225,3.92547993161625e-14,4.09427556867575e-11,3.23707471413492e-11,L1CAM/PTPRJ/CHL1/NRXN1/SLIT2/TUBB2B/SEMA3B/NRCAM/GFRA3/SEMA7A/SEMA4B/NCAM1/NRXN3/ADAM17/ERBB2/DAG1/SCN1B/CSF1R/KIF5A/ALCAM/PLXNA3/EMB/EPHA3/SEMA3C/CNTN4/CYFIP2/RPS6KA5/SEMA5A/FEZ1/RELN/FLRT3/SEMA6D/CYFIP1/CHN1/EPHA5/KIF21A/LAMA2/ANOS1/BMP7/MATN2/SEMA3D/GAP43/CNTN1/NTN4,44
GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,16/936,31/18805,0.516129032258065,10.3694513371933,11.9489438765353,1.86055205353809e-13,1.45365797546288e-10,1.14931186151044e-10,HLA-DOA/UNC93B1/HLA-DMB/HLA-DMA/HLA-DPB1/CTSD/HLA-DPA1/HLA-DRA/CD74/HLA-DQA1/FCGR2B/HLA-DRB3/FCER1G/HLA-DQB1/IFI30/HLA-DRB5,16
GO:0002478,antigen processing and presentation of exogenous peptide antigen,18/936,41/18805,0.439024390243902,8.8203564727955,11.4727805690091,2.04534712923112e-13,1.45365797546288e-10,1.14931186151044e-10,HLA-DOA/UNC93B1/HLA-DMB/HLA-DMA/FCGR1A/HLA-DPB1/CTSD/MFSD6/HLA-DPA1/HLA-DRA/CD74/HLA-DQA1/FCGR2B/HLA-DRB3/FCER1G/HLA-DQB1/IFI30/HLA-DRB5,18
GO:0048002,antigen processing and presentation of peptide antigen,23/936,71/18805,0.323943661971831,6.50829120019261,10.6425017224477,2.22996429601208e-13,1.45365797546288e-10,1.14931186151044e-10,MARCHF1/TREM2/MR1/HLA-DOA/UNC93B1/HLA-DMB/HLA-DMA/FCGR1A/HLA-DPB1/CTSD/ERAP1/MFSD6/HLA-DPA1/HLA-DRA/CD74/HLA-DQA1/FCGR2B/HLA-DRB3/FCER1G/HLA-DQB1/IFI30/HLA-DRB5/ERAP2,23
GO:0009615,response to virus,59/936,425/18805,0.138823529411765,2.78907742584213,8.53814977039885,8.20227161972844e-13,4.75276072187598e-10,3.75769566485103e-10,IFI44/IFIT3/IFIT2/APOBEC3G/TLR3/TRIM22/IFI6/ITGB8/PARP9/DDX60/UNC93B1/BCL2/DTX3L/RNASE6/NMI/IFI44L/MX1/NCK1/RIGI/CASP1/ISG15/IFIH1/IFIT1/GBP2/TLR7/APOBEC3C/SMPD1/PENK/LGALS9/RSAD2/DHX58/EIF2AK2/RTP4/HCFC2/TRIM38/STAT1/RNASE2/OAS1/MICA/EIF2AK4/IFIT5/CXCR4/IFNAR1/IFNGR1/AZI2/VAMP8/MX2/OAS3/HERC5/CDK6/BST2/OASL/GBP1/TLR2/OAS2/IRAK3/DDIT4/CXCL10/CCL4,59
GO:0019884,antigen processing and presentation of exogenous antigen,19/936,50/18805,0.38,7.63450854700855,10.7509823047841,1.02703372105888e-12,5.35598085532207e-10,4.23462219514488e-10,MR1/HLA-DOA/UNC93B1/HLA-DMB/HLA-DMA/FCGR1A/HLA-DPB1/CTSD/MFSD6/HLA-DPA1/HLA-DRA/CD74/HLA-DQA1/FCGR2B/HLA-DRB3/FCER1G/HLA-DQB1/IFI30/HLA-DRB5,19
