gene,module,direction,discovery_logFC,validation_logFC,direction_concordant
AATK,turquoise,up,1.03160533152969,0.764154342592592,TRUE
ABCA2,turquoise,up,1.19151890290825,0.975908870370372,TRUE
ABCA3,turquoise,up,1.29525823791056,0.856476074074074,TRUE
ABCC9,yellow,down,-1.9770294602074,-4.16875370370371,TRUE
ABCD3,turquoise,up,1.64254200263531,0.726889648148148,TRUE
ACBD5,turquoise,up,1.305939934367,0.327077537037038,TRUE
ACKR1,yellow,down,-1.17395083344101,-1.57742063888889,TRUE
ADAM17,turquoise,up,1.3496846605667,0.939938166666666,TRUE
ADI1,turquoise,up,1.34625130072938,0.696283712962964,TRUE
AFDN,yellow,down,-1.54152593546106,-3.45612977777778,TRUE
AKR1C2,yellow,down,-1.94915009574402,-3.81128667592592,TRUE
AKR1C3,yellow,down,-1.13296532143331,-1.46141503703704,TRUE
AKTIP,turquoise,up,1.04208795464688,0.430056842592593,TRUE
ALCAM,turquoise,up,1.60977399391288,2.97924963888889,TRUE
ALG5,turquoise,up,1.23879769897996,0.489062037037037,TRUE
ANGPT1,yellow,down,-1.80783951236546,-3.54108008333333,TRUE
ANK2,turquoise,up,1.20931899509406,1.57792379629629,TRUE
ANK3,turquoise,up,2.41360839996531,1.41141759259259,TRUE
ANKRD28,turquoise,up,1.12548215930995,0.976300638888887,TRUE
AOC3,yellow,down,-1.39891189212953,-3.58311844444445,TRUE
AP3M2,turquoise,up,1.4935493795744,0.96670612037037,TRUE
APH1B,turquoise,up,1.29160759741558,0.593105212962965,TRUE
AQP1,yellow,down,-1.39810428661912,-5.76545109259259,TRUE
ARFIP1,turquoise,up,1.3289822996677,0.646339787037036,TRUE
ARHGAP12,turquoise,up,1.1400513844071,0.194362685185187,TRUE
ARHGEF10,turquoise,up,1.23837331625752,0.812231555555554,TRUE
ARHGEF12,turquoise,up,1.01486679125983,0.61203037037037,TRUE
ARHGEF26,turquoise,up,2.69407597807171,1.75749662037037,TRUE
ARMC10,turquoise,up,1.07080979778952,0.279394851851849,TRUE
ARSK,turquoise,up,1.57354672762375,0.598961148148149,TRUE
AS3MT,turquoise,up,1.21866340523285,1.42005532407407,TRUE
ASPA,turquoise,up,2.24013753268928,-0.202681777777778,FALSE
ASS1,yellow,down,-1.84372547330069,-1.41350241666667,TRUE
ATF7IP2,turquoise,up,2.0202601556222,1.90816216666667,TRUE
ATL1,turquoise,up,1.32584684219892,0.40282061111111,TRUE
ATOSA,turquoise,up,1.09496961924672,-0.0291731944444447,FALSE
ATP6V1C1,turquoise,up,1.28636683104241,0.528616648148152,TRUE
ATP6V1D,turquoise,up,1.17476600725983,0.516477416666664,TRUE
BBS12,turquoise,up,1.36752625489052,0.626144574074073,TRUE
BCL2,turquoise,up,1.45631481676639,0.661561018518517,TRUE
BOC,yellow,down,-1.02077741960138,-1.030349,TRUE
BPGM,turquoise,up,1.12398009906862,0.486781555555555,TRUE
BRD10,turquoise,up,1.02791378578258,-0.0766594444444433,FALSE
BTBD3,turquoise,up,1.27939883899692,0.763695342592593,TRUE
C3orf38,turquoise,up,1.07725349446415,0.284663981481485,TRUE
C5orf15,turquoise,up,1.0688744699414,0.78782536111111,TRUE
C6orf62,turquoise,up,1.00598733241326,1.13205787037037,TRUE
CAB39L,turquoise,up,2.57722229259522,1.06678918518519,TRUE
CAPN6,yellow,down,-1.6045346820825,-2.06946674074074,TRUE
CAT,turquoise,up,1.17490771481958,-0.102621944444447,FALSE
CCDC3,yellow,down,-1.06932371697995,-0.779790712962963,TRUE
CCDC80,yellow,down,-2.76782815637625,-6.04037807407408,TRUE
CCL19,yellow,down,-1.35192048330069,-0.196974740740741,TRUE
CCND2,turquoise,up,1.75862173235853,2.22655727777778,TRUE
CD248,yellow,down,-1.37481174338396,-0.767535842592593,TRUE
CD36,yellow,down,-1.53168019495913,-3.30288871296296,TRUE
CDH2,turquoise,up,2.10970376588512,3.7776224537037,TRUE
CDH6,turquoise,up,1.39413428462992,1.3190100462963,TRUE
CEP170,turquoise,up,1.57170356043794,1.09344687037037,TRUE
CEP350,turquoise,up,1.2038314992606,0.678211296296297,TRUE
CERS6,turquoise,up,1.14640376604472,0.818196370370369,TRUE
CFAP20,turquoise,up,1.24962730782344,0.871353583333335,TRUE
CHD7,turquoise,up,1.38919866631997,1.93629172222222,TRUE
CLMN,turquoise,up,1.45400698489746,0.252540342592594,TRUE
