"gene","source","bulk_direction","bulk_logFC","cell_type","avg_expression","pct_expressing"
"ABCC9","hub_down","down",-1.9770294602074,"Schwann/肿瘤细胞",0.00226938638155471,0.145240086263809
"ABCC9","hub_down","down",-1.9770294602074,"巨噬/髓系",0.000672743895181083,0.0513006861466772
"ABCC9","hub_down","down",-1.9770294602074,"T细胞",0.00068306409264402,0.0439923013472642
"ABCC9","hub_down","down",-1.9770294602074,"成纤维",0.391479607929602,31.8405279816823
"ABCC9","hub_down","down",-1.9770294602074,"内皮",0.00810645121274831,0.804490177736202
"ABCC9","hub_down","down",-1.9770294602074,"周细胞",0.244304323025636,22.6304503216583
"AKR1C2","hub_down","down",-1.94915009574402,"Schwann/肿瘤细胞",0.00123470525838647,0.136437656793275
"AKR1C2","hub_down","down",-1.94915009574402,"巨噬/髓系",0.000767968670961143,0.072675972041126
"AKR1C2","hub_down","down",-1.94915009574402,"T细胞",0.000796206673998738,0.0549903766840803
"AKR1C2","hub_down","down",-1.94915009574402,"成纤维",0.317861949310265,28.0624957909624
"AKR1C2","hub_down","down",-1.94915009574402,"内皮",0.0871846895439806,7.46492048643592
"AKR1C2","hub_down","down",-1.94915009574402,"周细胞",0.0996711686159881,11.4653323802716
"ANK3","hub_up","up",2.41360839996531,"Schwann/肿瘤细胞",0.722930422007888,40.2050966066634
"ANK3","hub_up","up",2.41360839996531,"巨噬/髓系",0.071273441440515,6.77169057136139
"ANK3","hub_up","up",2.41360839996531,"T细胞",0.0774145129062793,5.12510310695628
"ANK3","hub_up","up",2.41360839996531,"成纤维",0.0176027672178886,1.81830426291333
"ANK3","hub_up","up",2.41360839996531,"内皮",0.0083484498120646,0.823199251637044
"ANK3","hub_up","up",2.41360839996531,"周细胞",0.0303808515836302,3.4024303073624
"AR","signature","signature_negative",NA,"Schwann/肿瘤细胞",0.00327100040957143,0.308085031468685
"AR","signature","signature_negative",NA,"巨噬/髓系",0.00581876543009823,0.63912104824402
"AR","signature","signature_negative",NA,"T细胞",0.00158294243135583,0.104481715699753
"AR","signature","signature_negative",NA,"成纤维",0.291218354998994,26.244191528049
"AR","signature","signature_negative",NA,"内皮",0.0625996673251804,5.72497661365762
"AR","signature","signature_negative",NA,"周细胞",0.189006453561943,20.8863473909936
"ARHGEF26","hub_up","up",2.69407597807171,"Schwann/肿瘤细胞",0.319615393819775,21.9004445226883
"ARHGEF26","hub_up","up",2.69407597807171,"巨噬/髓系",0.0177572636111589,1.95156360216318
"ARHGEF26","hub_up","up",2.69407597807171,"T细胞",0.0215847427634272,1.53423150948584
"ARHGEF26","hub_up","up",2.69407597807171,"成纤维",0.102704923230832,10.5326958044313
"ARHGEF26","hub_up","up",2.69407597807171,"内皮",0.0129211591787809,1.1599625818522
"ARHGEF26","hub_up","up",2.69407597807171,"周细胞",0.0396710645343492,5.11794138670479
"ASPA","hub_up","up",2.24013753268928,"Schwann/肿瘤细胞",0.363984298622411,25.0693191320805
"ASPA","hub_up","up",2.24013753268928,"巨噬/髓系",0.0156330900850168,1.67795994271423
"ASPA","hub_up","up",2.24013753268928,"T细胞",0.0144846111267557,1.06681330767116
"ASPA","hub_up","up",2.24013753268928,"成纤维",0.114845536445257,11.7920398680046
"ASPA","hub_up","up",2.24013753268928,"内皮",0.0098662528020288,0.916744621141253
"ASPA","hub_up","up",2.24013753268928,"周细胞",0.0903200798504386,10.6933523945675
"ATF7IP2","hub_up","up",2.0202601556222,"Schwann/肿瘤细胞",0.126196144968132,10.3340521984068
"ATF7IP2","hub_up","up",2.0202601556222,"巨噬/髓系",0.218914442894004,21.8391295983584
"ATF7IP2","hub_up","up",2.0202601556222,"T细胞",0.193248264834917,12.3838328292549
"ATF7IP2","hub_up","up",2.0202601556222,"成纤维",0.0393544004879833,4.48515051518621
"ATF7IP2","hub_up","up",2.0202601556222,"内皮",0.0625723131570433,6.37979420018709
"ATF7IP2","hub_up","up",2.0202601556222,"周细胞",0.0551272405603091,6.83345246604718
"BDKRB2","signature","signature_negative",NA,"Schwann/肿瘤细胞",0.000613777615650794,0.0704194357642709
"BDKRB2","signature","signature_negative",NA,"巨噬/髓系",5.35561153806041e-05,0.00855011435777954
"BDKRB2","signature","signature_negative",NA,"T细胞",5.70590763957964e-05,0.00549903766840803
"BDKRB2","signature","signature_negative",NA,"成纤维",0.0863159090813788,8.78173614384807
"BDKRB2","signature","signature_negative",NA,"内皮",0.0650307108877296,6.90364826941066
"BDKRB2","signature","signature_negative",NA,"周细胞",0.0259635106133255,3.64546104360257
"CAB39L","hub_up","up",2.57722229259522,"Schwann/肿瘤细胞",0.469452385133208,30.9493420183971
"CAB39L","hub_up","up",2.57722229259522,"巨噬/髓系",0.0422043993727086,4.78165145458821
"CAB39L","hub_up","up",2.57722229259522,"T细胞",0.0397598738528328,2.73302172119879
"CAB39L","hub_up","up",2.57722229259522,"成纤维",0.303979710416592,27.308236244865
"CAB39L","hub_up","up",2.57722229259522,"内皮",0.032493623954206,3.38634237605239
"CAB39L","hub_up","up",2.57722229259522,"周细胞",0.168837986319707,19.3566833452466
"CCDC80","hub_down","down",-2.76782815637625,"Schwann/肿瘤细胞",0.085007734370596,5.91963381893403
"CCDC80","hub_down","down",-2.76782815637625,"巨噬/髓系",0.0122683557530863,0.993950794091871
"CCDC80","hub_down","down",-2.76782815637625,"T细胞",0.00839261955897114,0.571899917514435
"CCDC80","hub_down","down",-2.76782815637625,"成纤维",1.93050733434795,76.5977506902822
"CCDC80","hub_down","down",-2.76782815637625,"内皮",0.188692366086237,15.5098222637979
"CCDC80","hub_down","down",-2.76782815637625,"周细胞",0.883592332088272,53.1379556826305
"CDH2","hub_up","up",2.10970376588512,"Schwann/肿瘤细胞",0.258567539399959,18.5907310417675
"CDH2","hub_up","up",2.10970376588512,"巨噬/髓系",0.0107257189575787,1.19487848149969
"CDH2","hub_up","up",2.10970376588512,"T细胞",0.00795477009953463,0.610393181193291
"CDH2","hub_up","up",2.10970376588512,"成纤维",0.0133611313429326,1.50851909219476
"CDH2","hub_up","up",2.10970376588512,"内皮",0.0335181098619073,2.9934518241347
"CDH2","hub_up","up",2.10970376588512,"周细胞",0.00808455002733818,1.01501072194425
"CLMP","hub_down","down",-1.89879292869622,"Schwann/肿瘤细胞",0.00280403571513554,0.277276528321817
"CLMP","hub_down","down",-1.89879292869622,"巨噬/髓系",0.00256647867101146,0.2714661308595
"CLMP","hub_down","down",-1.89879292869622,"T细胞",0.00391680810452703,0.236458619741545
"CLMP","hub_down","down",-1.89879292869622,"成纤维",0.388475392358833,33.9282106539161
"CLMP","hub_down","down",-1.89879292869622,"内皮",0.00596780191736799,0.692235734331151
"CLMP","hub_down","down",-1.89879292869622,"周细胞",0.0767448394096005,9.20657612580415
"CRABP2","hub_down","down",-2.10060485061141,"Schwann/肿瘤细胞",0.0145410536987598,1.13551340169887
"CRABP2","hub_down","down",-2.10060485061141,"巨噬/髓系",0.0143629397809551,1.71643545732424
"CRABP2","hub_down","down",-2.10060485061141,"T细胞",0.00780074851372953,0.500412427825131
"CRABP2","hub_down","down",-2.10060485061141,"成纤维",0.609998975040135,43.8750084180753
"CRABP2","hub_down","down",-2.10060485061141,"内皮",0.0191472564129378,1.70252572497661
"CRABP2","hub_down","down",-2.10060485061141,"周细胞",0.148667312240696,14.8963545389564
"EDIL3","hub_up","up",2.13154336260987,"Schwann/肿瘤细胞",0.597133678898483,34.5495356718454
"EDIL3","hub_up","up",2.13154336260987,"巨噬/髓系",0.025305220407765,2.40899472030438
"EDIL3","hub_up","up",2.13154336260987,"T细胞",0.0195136661455769,1.38025845477042
"EDIL3","hub_up","up",2.13154336260987,"成纤维",0.243085595325246,21.1394706714257
"EDIL3","hub_up","up",2.13154336260987,"内皮",0.0434902414437029,3.94761459307764
"EDIL3","hub_up","up",2.13154336260987,"周细胞",0.414003769795967,38.541815582559
"EGFR","hub_down","down",-2.06827535855359,"Schwann/肿瘤细胞",0.0255038605360095,2.1301879318692
"EGFR","hub_down","down",-2.06827535855359,"巨噬/髓系",0.00365065828186112,0.397580317636748
"EGFR","hub_down","down",-2.06827535855359,"T细胞",0.0022629792429444,0.148474017047017
"EGFR","hub_down","down",-2.06827535855359,"成纤维",0.539222505905766,44.5753922823086
"EGFR","hub_down","down",-2.06827535855359,"内皮",0.0424985985198174,4.35921421889616
"EGFR","hub_down","down",-2.06827535855359,"周细胞",0.223021853297997,23.8598999285204
"EHBP1","hub_up","up",2.05839585952969,"Schwann/肿瘤细胞",0.757065092165059,43.3035517802914
"EHBP1","hub_up","up",2.05839585952969,"巨噬/髓系",0.087522109007343,9.02892076181519
"EHBP1","hub_up","up",2.05839585952969,"T细胞",0.0797418590407701,5.24608193566126
"EHBP1","hub_up","up",2.05839585952969,"成纤维",0.246976560736569,23.6985655599704
"EHBP1","hub_up","up",2.05839585952969,"内皮",0.163163372991226,16.2768942937325
"EHBP1","hub_up","up",2.05839585952969,"周细胞",0.137438690969263,16.1543959971408
"EVI5","hub_up","up",1.93204718023362,"Schwann/肿瘤细胞",0.338456741204643,24.1890761850271
"EVI5","hub_up","up",1.93204718023362,"巨噬/髓系",0.232623743151886,24.2310240899472
"EVI5","hub_up","up",1.93204718023362,"T细胞",0.0170769771997731,1.25378058839703
"EVI5","hub_up","up",1.93204718023362,"成纤维",0.206965583301087,20.8835611825712
"EVI5","hub_up","up",1.93204718023362,"内皮",0.145134626970986,14.2563143124415
"EVI5","hub_up","up",1.93204718023362,"周细胞",0.18721015971103,21.5868477483917
"FABP4","hub_down","down",-3.92368937910717,"Schwann/肿瘤细胞",0.00773769643043897,0.409312970379825
"FABP4","hub_down","down",-3.92368937910717,"巨噬/髓系",0.0154560274711905,0.968300451018532
"FABP4","hub_down","down",-3.92368937910717,"T细胞",0.00787831654625916,0.500412427825131
"FABP4","hub_down","down",-3.92368937910717,"成纤维",0.136772560525484,10.7212606909556
"FABP4","hub_down","down",-3.92368937910717,"内皮",1.99329829154949,64.0598690364827
"FABP4","hub_down","down",-3.92368937910717,"周细胞",1.20886554461453,56.9978556111508
"FBLN1","hub_down","down",-2.17751430224903,"Schwann/肿瘤细胞",0.0251664750019111,1.28515470269794
"FBLN1","hub_down","down",-2.17751430224903,"巨噬/髓系",0.0169388175404947,1.04952653741744
"FBLN1","hub_down","down",-2.17751430224903,"T细胞",0.0245629270895263,1.44624690679131
"FBLN1","hub_down","down",-2.17751430224903,"成纤维",2.69979054219849,83.4871035086538
"FBLN1","hub_down","down",-2.17751430224903,"内皮",0.289360207026687,24.022450888681
"FBLN1","hub_down","down",-2.17751430224903,"周细胞",1.01744398299686,49.4496068620443
"FCGBP","signature","signature_positive",NA,"Schwann/肿瘤细胞",0.0399693219152816,2.81677743057084
"FCGBP","signature","signature_positive",NA,"巨噬/髓系",0.558577985831728,31.4152576790715
"FCGBP","signature","signature_positive",NA,"T细胞",0.0431001912263981,2.59554577948859
"FCGBP","signature","signature_positive",NA,"成纤维",0.0142049556557768,1.28628190450535
"FCGBP","signature","signature_positive",NA,"内皮",0.0123226898758491,1.06641721234799
"FCGBP","signature","signature_positive",NA,"周细胞",0.00903987759129458,0.814867762687634
"FIBIN","hub_down","down",-2.03742797157209,"Schwann/肿瘤细胞",0.0160141427474651,1.17512433431627
"FIBIN","hub_down","down",-2.03742797157209,"巨噬/髓系",0.00188088318995644,0.171002287155591
"FIBIN","hub_down","down",-2.03742797157209,"T细胞",0.0026361402720746,0.153973054715425
"FIBIN","hub_down","down",-2.03742797157209,"成纤维",0.569073799964983,40.460637079938
"FIBIN","hub_down","down",-2.03742797157209,"内皮",0.0139616555622155,1.1599625818522
"FIBIN","hub_down","down",-2.03742797157209,"周细胞",0.198814388185742,19.5282344531808
"HRH1","signature","signature_negative",NA,"Schwann/肿瘤细胞",0.00150170204938218,0.123234012587474
"HRH1","signature","signature_negative",NA,"巨噬/髓系",0.0309167208323285,3.3003441421029
"HRH1","signature","signature_negative",NA,"T细胞",0.000973955804800652,0.0549903766840803
"HRH1","signature","signature_negative",NA,"成纤维",0.147551676470545,13.8729880800054
"HRH1","signature","signature_negative",NA,"内皮",0.12834002493582,12.9279700654818
"HRH1","signature","signature_negative",NA,"周细胞",0.05187185624177,6.73338098641887
"ITGB4","hub_up","up",1.85600807749962,"Schwann/肿瘤细胞",0.769255452565959,42.8414242330883
"ITGB4","hub_up","up",1.85600807749962,"巨噬/髓系",0.0371054138859114,3.57822285873074
"ITGB4","hub_up","up",1.85600807749962,"T细胞",0.0285444176266457,1.9191641462744
"ITGB4","hub_up","up",1.85600807749962,"成纤维",0.126148406381035,10.5731025658293
"ITGB4","hub_up","up",1.85600807749962,"内皮",0.765253648962616,54.6492048643592
"ITGB4","hub_up","up",1.85600807749962,"周细胞",0.156104848245327,15.8398856325947
"JAKMIP2","hub_up","up",2.31392950279414,"Schwann/肿瘤细胞",0.187537769507897,14.8012851547027
"JAKMIP2","hub_up","up",2.31392950279414,"巨噬/髓系",0.014438656464888,1.72712310027147
"JAKMIP2","hub_up","up",2.31392950279414,"T细胞",0.102410672125804,6.80230959582073
"JAKMIP2","hub_up","up",2.31392950279414,"成纤维",0.0162305990983808,1.92605562664152
"JAKMIP2","hub_up","up",2.31392950279414,"内皮",0.00213546676311695,0.318054256314312
"JAKMIP2","hub_up","up",2.31392950279414,"周细胞",0.00683986409095055,0.829163688348821
"KIF1A","hub_up","up",1.98961629397996,"Schwann/肿瘤细胞",0.21874301852441,17.015096166542
"KIF1A","hub_up","up",1.98961629397996,"巨噬/髓系",0.0100038905877771,1.16495308124746
"KIF1A","hub_up","up",1.98961629397996,"T细胞",0.00897977435152785,0.632389331866923
"KIF1A","hub_up","up",1.98961629397996,"成纤维",0.00660812000294272,0.909152131456664
"KIF1A","hub_up","up",1.98961629397996,"内皮",0.00276696416164696,0.187090739008419
"KIF1A","hub_up","up",1.98961629397996,"周细胞",0.00443816781842263,0.571837026447462
"L1CAM","signature","signature_positive",NA,"Schwann/肿瘤细胞",0.965574142351049,51.476607543682
"L1CAM","signature","signature_positive",NA,"巨噬/髓系",0.0413052686451172,3.76846290319133
"L1CAM","signature","signature_positive",NA,"T细胞",0.0382289046458999,2.50206213912565
"L1CAM","signature","signature_positive",NA,"成纤维",0.0173812963905525,1.83177318337935
"L1CAM","signature","signature_positive",NA,"内皮",0.046406495157745,4.82694106641721
