"gene","original_logFC","original_adj.P.Val","adjusted_logFC","AveExpr","t","adjusted_P.Value","adjusted_adj.P.Val","B","original_sig","adjusted_sig","classification"
"A1CF",-0.429524951542019,0.00214846203732024,-0.423312994560079,5.7963572907,-1.2288482754979,0.226929468033126,0.525723955385823,-5.42189658628359,FALSE,FALSE,"neither"
"A2M",1.21591866353894,0.000239871878287219,0.622963192337435,11.642776977875,1.42473289658524,0.162660859314069,0.459616064017369,-5.17913410032433,TRUE,FALSE,"attenuated"
"A2ML1",-0.625853381363916,0.000139946018771826,-1.08021345078498,6.40315288445,-2.79043507038072,0.00829170493743383,0.103048363395917,-2.6982183543556,FALSE,FALSE,"neither"
"A4GALT",-1.01979087346183,4.52458759385928e-10,-0.931920668593014,7.64314190605,-3.43219615192656,0.0014942672881109,0.0388778732258044,-1.16771011653994,TRUE,FALSE,"attenuated"
"A4GNT",-0.41761172395528,0.0014465043754542,-0.435418678617129,5.468838011075,-1.3601565029427,0.18205366155222,0.480521835091678,-5.2627378946883,FALSE,FALSE,"neither"
"AAAS",0.339814938642252,0.0180107483771193,0.659779798159265,9.066597268575,2.2366123676777,0.0314488354525936,0.211898907335582,-3.85304983617164,FALSE,FALSE,"neither"
"AACS",-0.125653156184271,0.329213775148279,0.356757188415681,8.014616829825,1.33590839153373,0.189774503203736,0.487461101617899,-5.29323195007861,FALSE,FALSE,"neither"
"AADAC",-0.463737696228989,7.97167764617125e-07,-0.424378224237967,3.622225852775,-2.07179118451956,0.0453362761475648,0.254153022673893,-4.16062528985601,FALSE,FALSE,"neither"
"AADACL2",-0.423081821966074,0.000130892204204635,-0.0169374572052309,4.166363576525,-0.0669945090514699,0.946948381539578,0.974331782870246,-6.14499557351469,FALSE,FALSE,"neither"
"AADACL3",-0.675459871252119,0.000149669504941464,-0.331094130887302,5.72480617075,-0.790765617127077,0.434147870095792,0.681303223558216,-5.84314577437932,FALSE,FALSE,"neither"
