"gene","bulk_logFC","dominant_celltype","pb_log2FC_in_dom","pb_p_in_dom","dom_pct_shift_VS_minus_Nerve","class"
"NRG1",2.24649898812876,"Schwann/肿瘤细胞",2.18303467228909,0.000668129950630623,21.18,"both"
"L1CAM",3.98507776602698,"Schwann/肿瘤细胞",1.85919486156592,5.80025443838236e-07,21.18,"both"
"GPR155",3.22567279711951,"Schwann/肿瘤细胞",2.30490025910927e-06,0.0705392525153008,21.18,"composition-consistent"
"MOXD1",2.9493065073431,"Schwann/肿瘤细胞",1.04458148169139e-06,0.0206833716608283,21.18,"both"
"BDKRB2",-1.6830707947155,"成纤维",-2.82809926048753,0.00252182169009909,-42.35,"both"
"NLGN4X",2.54033397623824,"Schwann/肿瘤细胞",1.22382781258152e-06,0.367956384340414,21.18,"composition-consistent"
"NCAM2",2.76006595202236,"Schwann/肿瘤细胞",1.79581367643007,0.000492367854634153,21.18,"both"
"FCGBP",3.14337433953817,"巨噬/髓系",3.56883114249815,6.55205137960943e-08,45.88,"both"
"EHBP1",2.05839585952969,"Schwann/肿瘤细胞",5.63684710229976e-06,0.0544107012296419,21.18,"composition-consistent"
"SCN9A",2.30007306218273,"Schwann/肿瘤细胞",1.49378415441713e-06,0.336021833103029,21.18,"composition-consistent"
"CDH19",3.46951275893832,"Schwann/肿瘤细胞",6.36774192017015e-06,0.00634435521517518,21.18,"both"
"ATF7IP2",2.0202601556222,"巨噬/髓系",0.783083722897194,0.00259139928626532,45.88,"both"
"PRRX1",-3.02065103459599,"成纤维",-2.08493128295668,1.48246223353783e-05,-42.35,"both"
"SLC35F1",2.3971609271172,"Schwann/肿瘤细胞",2.69967245660491e-06,0.0731847880077027,21.18,"composition-consistent"
"HRH1",-1.59148918529607,"成纤维",-2.0741653629124,0.0034116245751608,-42.35,"both"
"IFI44",2.59447874633385,"巨噬/髓系",0.56607988537251,0.00181666146236356,45.88,"both"
"RASSF4",2.73019276535235,"巨噬/髓系",0.923023135671559,2.89060990817679e-06,45.88,"both"
"AR",-1.08179048347648,"成纤维",-2.71633916527771,0.00048073753775271,-42.35,"both"
