gene,module,direction,kME,GS,logFC,adj.P.Val,is_hub
DMXL1,turquoise,up,0.975525508111451,0.639127341968283,0.878937069570551,5.06963308755912e-05,FALSE
VPS50,turquoise,up,0.971995475839023,0.72153423392303,0.943050455326909,1.95734080407722e-06,FALSE
ATE1,turquoise,up,0.968073899469665,0.652603744618949,0.81110833910332,3.51766197573805e-05,FALSE
BRD10,turquoise,up,0.96630871453805,0.692105720530848,1.02791378578258,6.82849889961066e-06,TRUE
IPO8,turquoise,up,0.965433015964389,0.689877917210642,1.11707972051735,6.93158019825821e-06,TRUE
TRPM7,turquoise,up,0.964142000320523,0.654486321405405,1.00220303561912,2.87152933639181e-05,TRUE
ZFP90,turquoise,up,0.963787182949627,0.741057621976513,1.06609268571164,7.28601691255721e-07,TRUE
TRAPPC8,turquoise,up,0.963656891578314,0.646234428598831,0.943162358680034,3.79170163141809e-05,FALSE
RAB3GAP1,turquoise,up,0.961822366744773,0.682283532742545,0.798982143870471,1.27562833043026e-05,FALSE
SLC35D2,turquoise,up,0.960375432232269,0.82842394254293,1.50765021809869,2.23707375964293e-09,TRUE
HTT,turquoise,up,0.959616281857321,0.769573171725573,1.2664252818643,1.47951438079597e-07,TRUE
INO80,turquoise,up,0.958594107236278,0.770280456394467,0.841879213599079,2.45769742058412e-07,FALSE
QNG1,turquoise,up,0.956844648788491,0.726362269379511,1.02780969133308,1.46682917537735e-06,TRUE
ZKSCAN8,turquoise,up,0.95661857103966,0.6512880305346,0.961121206264459,3.25445380867495e-05,FALSE
SECISBP2,turquoise,up,0.956326499209733,0.673741697552866,0.900421651520434,1.63392434375316e-05,FALSE
CAMSAP1,turquoise,up,0.955685756954632,0.731042230717421,0.818962859130302,1.90506384206506e-06,FALSE
KATNAL1,turquoise,up,0.954069501061511,0.672476130565465,1.04260850784657,1.44937194415604e-05,TRUE
SEC22C,turquoise,up,0.953914597703925,0.712895624144987,0.806179244355437,4.25672760696541e-06,FALSE
COQ7,turquoise,up,0.953518200446236,0.652780020618768,0.658206440260605,4.27086435532e-05,FALSE
WASHC4,turquoise,up,0.953053884378065,0.825683779634512,1.53307573599152,2.8924670829165e-09,TRUE
C3orf38,turquoise,up,0.952182971498252,0.762156935501097,1.07725349446415,2.20094084522973e-07,TRUE
FBXO3,turquoise,up,0.952061655672424,0.678914188771131,0.808742134217426,1.40741837749449e-05,FALSE
USP9X,turquoise,up,0.951050986750101,0.760138642795566,1.20345149508636,2.77505737692343e-07,TRUE
MTO1,turquoise,up,0.950565477661383,0.666138522528316,0.919135007703164,1.94395514166174e-05,FALSE
INTS12,turquoise,up,0.950036570421875,0.711962390456899,0.96071705132691,3.3638388322803e-06,FALSE
ERMARD,turquoise,up,0.949992668512356,0.731281709262712,1.01691309761218,1.2476771681911e-06,TRUE
TAOK1,turquoise,up,0.948819994713755,0.676527735361971,0.973558618940636,1.48193536006036e-05,FALSE
SNX4,turquoise,up,0.948785233431718,0.64150759327998,0.81879802817425,4.93581956573569e-05,FALSE
LRRC58,turquoise,up,0.948620431127767,0.639348194939808,0.726557884367002,5.73435579272711e-05,FALSE
DPP8,turquoise,up,0.947885235326261,0.602346774438198,0.701677542325369,0.000185670140287495,FALSE
FER,turquoise,up,0.947079859181731,0.794570150283382,1.51023460187818,2.53375887993624e-08,TRUE
CLN5,turquoise,up,0.946075528177962,0.72239908039546,1.13903337400848,1.71308678773992e-06,TRUE
ZNF260,turquoise,up,0.945859882585954,0.720140565411177,0.939158813232845,2.12413871615771e-06,FALSE
POLI,turquoise,up,0.945296804611078,0.820983529066914,1.18049919596222,5.9950870766701e-09,TRUE
SLC12A4,turquoise,up,0.945283659983384,0.800682126253066,1.02475769729915,3.45762409947096e-08,TRUE
PAK2,turquoise,up,0.945069724909344,0.668669550422935,1.05970458973863,1.78581469399419e-05,TRUE
RRAGB,turquoise,up,0.944953129584715,0.723848518552886,0.992967470003085,1.71790279952174e-06,FALSE
RNMT,turquoise,up,0.944928137101213,0.692203078616603,0.843984896206632,7.47224327193596e-06,FALSE
ZBTB41,turquoise,up,0.944744928759575,0.681516780233118,0.977953259132615,1.07493840648969e-05,FALSE
UBR3,turquoise,up,0.944580461928043,0.583173558303842,0.87055430961758,0.000277199803772098,FALSE
ZNF24,turquoise,up,0.943798079420834,0.711476267464507,0.905740221634543,3.98922219401496e-06,FALSE
UPF2,turquoise,up,0.942805663224266,0.701448198870786,0.94997948493755,5.08900292786348e-06,FALSE
LMBRD2,turquoise,up,0.942692360899181,0.705706764895436,1.27271970600771,3.26086979433726e-06,TRUE
CCDC92,turquoise,up,0.94264777412537,0.604868134794503,0.921102045526601,0.000152534721062197,FALSE
RAB11FIP2,turquoise,up,0.941990628615235,0.777375394020206,1.23620662814881,9.74234302529622e-08,TRUE
RPS6KC1,turquoise,up,0.941626228270288,0.695626582178288,0.858674094429455,6.86629282068432e-06,FALSE
FBXO28,turquoise,up,0.941431270537329,0.738102992383723,1.04075447000694,9.3856097771426e-07,TRUE
GOLGA5,turquoise,up,0.939428175467673,0.640420866731243,0.902268443111797,4.95665551034842e-05,FALSE
TRAPPC11,turquoise,up,0.938681922132399,0.701738136164827,0.861148131771011,5.35535345995267e-06,FALSE
SLC33A1,turquoise,up,0.93841857335317,0.666960660482334,0.750118379531226,2.32215696151193e-05,FALSE
CEP350,turquoise,up,0.938060358497421,0.774654527933803,1.2038314992606,1.19397186950071e-07,TRUE
PTAR1,turquoise,up,0.93792804107238,0.766721884790357,1.2108452331943,1.86852674678039e-07,TRUE
CTNS,turquoise,up,0.937869405576169,0.732013718962822,0.987368994085585,1.32557485414863e-06,FALSE
PLXNA3,turquoise,up,0.937868865385978,0.799708331568612,1.18313506693061,2.57408892071591e-08,TRUE
ORMDL1,turquoise,up,0.937798884917641,0.686105151180652,0.865482882138014,1.04322417468324e-05,FALSE
SNX14,turquoise,up,0.936927710140456,0.670888618420747,1.10613831474942,1.51558145255853e-05,TRUE
CEP290,turquoise,up,0.936860513641945,0.622585743490309,0.917106236574405,8.33351610086405e-05,FALSE
WDR35,turquoise,up,0.93650557639468,0.638376974239949,0.928415940931381,4.97954989390006e-05,FALSE
NEK7,turquoise,up,0.936240486921381,0.609798362904777,0.980259308868161,0.000126713644227978,FALSE
RELCH,turquoise,up,0.936194796180022,0.707264600713709,0.755898924062454,4.71194925418771e-06,FALSE
SNX12,turquoise,up,0.936134667494539,0.619931156967742,0.73538238848805,0.000110917280872009,FALSE
MICU2,turquoise,up,0.935866513242954,0.597313018217839,0.817144740551273,0.000188279270630341,FALSE
TRAPPC13,turquoise,up,0.935822571629763,0.717125352524791,0.962314041086355,2.34741490161751e-06,FALSE
ZNF106,turquoise,up,0.935753536148179,0.709566330265993,0.980071064214341,4.00269993019306e-06,FALSE
HSPA13,turquoise,up,0.935666332703059,0.738814649044534,1.27360466315112,7.04063044034574e-07,TRUE
NBAS,turquoise,up,0.935624350192361,0.616443522819377,0.729758743154204,0.000119512784458341,FALSE
NCOA2,turquoise,up,0.935568814232418,0.75655113235033,0.918921411117966,4.98111261213123e-07,FALSE
TCP11L1,turquoise,up,0.935020933178405,0.788181975691066,0.881774891216655,7.78517778157288e-08,FALSE
CGGBP1,turquoise,up,0.934818741770573,0.620362738415928,0.653509088158832,0.000112589314160478,FALSE
AP3M2,turquoise,up,0.934814163730407,0.817076724237962,1.4935493795744,5.82952465222215e-09,TRUE
ULK2,turquoise,up,0.934798864415845,0.653547991913281,0.898459898734776,3.44928467517806e-05,FALSE
ANKFY1,turquoise,up,0.934527534696405,0.632121679043884,0.817965442236703,7.52707535439637e-05,FALSE
ODR4,turquoise,up,0.93441102032672,0.662407064791707,1.04876583029684,2.04870937869619e-05,TRUE
STAG2,turquoise,up,0.9342887350236,0.570602857521615,0.865929616822667,0.000393723239603784,FALSE
TNKS,turquoise,up,0.93427157134367,0.566227257184885,0.718659691094066,0.000501902421166011,FALSE
RNF25,turquoise,up,0.933784598236983,0.614115623486892,0.656898269124904,0.000154107208132437,FALSE
NDRG3,turquoise,up,0.933675111707447,0.666226151004141,0.996029435825754,2.052198434994e-05,FALSE
RB1CC1,turquoise,up,0.933560535161757,0.556038957519618,0.646136441570548,0.000671713361276443,FALSE
CAPN7,turquoise,up,0.933349734060417,0.633592279217707,0.757373822589824,6.96407925021157e-05,FALSE
ZNF845,turquoise,up,0.933300627364349,0.752163349152017,1.10759319986662,3.87292367715831e-07,TRUE
CASD1,turquoise,up,0.932449107691146,0.664636544812902,0.950971458049348,1.99481054810339e-05,FALSE
SAMD4B,turquoise,up,0.932356613692208,0.743710051725236,0.978504961757135,8.51653762195837e-07,FALSE
BDP1,turquoise,up,0.932329349270874,0.655890777758797,0.84597525436623,3.31004878373395e-05,FALSE
MINDY2,turquoise,up,0.932228636334856,0.805456909936799,1.65223441316577,1.18122641838271e-08,TRUE
