gene,cell_type,spearman_rho,p_value,p_adj
AR,Macrophages,-0.658348968105066,3.88523582721869e-06,7.18587059871713e-05
AR,Fibroblasts,0.548030018761726,0.000251643362703007,0.00156225705145747
AR,CD56bright NK cells,-0.476172607879925,0.00189725827482554,0.00616608939318301
AR,Endothelial cells,0.435459662288931,0.00497851160245608,0.0132390854479944
AR,Treg cells,-0.370919324577861,0.0184602316172495,0.0382581611777779
AR,Monocytes,0.35609756097561,0.0241183447283448,0.0475592034910935
AR,Neutrophils,0.310694183864916,0.0510230124001745,0.0829123951502836
AR,Immature dendritic cells,0.280863039399625,0.079167716704331,0.114353368572923
AR,Th2 cells,0.267166979362101,0.0955978999111005,0.128966978181956
AR,MDSC,0.228330206378987,0.156455491557465,0.191223378570235
AR,Plasma cells,0.225891181988743,0.161049727612848,0.19517043261557
AR,Dendritic cells,0.2046904315197,0.205158749341693,0.242460340131092
AR,Cytotoxic cells,0.128142589118199,0.430695270326186,0.443089378824782
BDKRB2,Monocytes,0.637148217636023,9.83508836822299e-06,0.000140641763665589
BDKRB2,Neutrophils,0.606378986866792,3.36495872568811e-05,0.000343706498409571
BDKRB2,Endothelial cells,0.596622889305816,4.84136306627181e-05,0.000461543278984579
BDKRB2,Th2 cells,0.586679174484053,6.93097096056407e-05,0.00055062713742259
BDKRB2,MDSC,0.575797373358349,0.000101293852908099,0.000762369524518854
BDKRB2,Plasma cells,0.518574108818012,0.00060800958584401,0.00322019891761828
BDKRB2,Immature dendritic cells,0.514446529080676,0.000683697926316666,0.00322132052542785
BDKRB2,Fibroblasts,0.499249530956848,0.00103999320444673,0.0040194331955644
BDKRB2,Cytotoxic cells,0.486679174484053,0.00145043540943404,0.00493838722735875
BDKRB2,Dendritic cells,0.362288930581614,0.0216005134641073,0.0441267632195334
BDKRB2,Macrophages,-0.336210131332083,0.033910517929952,0.059866716839298
BDKRB2,CD56bright NK cells,-0.177673545966229,0.272716257012856,0.30467519338155
BDKRB2,Treg cells,-0.164727954971857,0.309746135694588,0.33811982751394
FCGBP,Macrophages,0.691557223264541,7.76185071916947e-07,2.77486163210308e-05
FCGBP,Treg cells,0.506378986866792,0.000856285145644758,0.00371056896446062
FCGBP,CD56bright NK cells,0.426266416510319,0.00609426304177646,0.015521826887897
FCGBP,Immature dendritic cells,-0.301688555347092,0.0585059629554324,0.0904679087497459
FCGBP,Fibroblasts,-0.273545966228893,0.0876467696526606,0.122313354187509
FCGBP,Th2 cells,-0.257786116322702,0.108283057106022,0.142059423542763
FCGBP,Dendritic cells,-0.239212007504691,0.137116639786439,0.173519287517352
FCGBP,Plasma cells,-0.19437148217636,0.229427537134231,0.264581756533831
FCGBP,Neutrophils,-0.188180112570357,0.244894282153906,0.280159058784068
FCGBP,Monocytes,-0.141275797373358,0.384548296762717,0.41037616744081
FCGBP,Cytotoxic cells,-0.139587242026266,0.390313095906758,0.413442760849381
FCGBP,Endothelial cells,-0.135647279549719,0.403958790328313,0.424750786889329
FCGBP,MDSC,-0.0703564727954972,0.666178563213152,0.675627904535324
HRH1,Immature dendritic cells,0.657598499061914,4.02006746781378e-06,7.18587059871713e-05
HRH1,Th2 cells,0.642213883677299,7.92837292668233e-06,0.00012597303650173
HRH1,Dendritic cells,0.567166979362102,0.000135580973808581,0.000923241869267953
HRH1,Neutrophils,0.516135084427767,0.000651774517635174,0.00322132052542785
HRH1,Monocytes,0.515572232645404,0.000662264698389351,0.00322132052542785
HRH1,MDSC,0.501313320825516,0.000983519430253933,0.00400734654218067
HRH1,Plasma cells,0.491369606003753,0.0012830159644604,0.00449706715304846
HRH1,Endothelial cells,0.424765478424015,0.00629556615033585,0.015521826887897
HRH1,Cytotoxic cells,0.387992495309569,0.0133671211712726,0.0298671613670622
HRH1,Macrophages,-0.360975609756098,0.0221153920450494,0.0445422684850996
HRH1,Fibroblasts,0.306378986866792,0.0545063978569695,0.0866046099282959
HRH1,Treg cells,-0.250656660412758,0.118749362634203,0.154374171424464
HRH1,CD56bright NK cells,-0.197936210131332,0.220831780520205,0.256739387108856
L1CAM,Th2 cells,-0.630018761726079,1.3233930703703e-05,0.0001690069904732
