cell_type,GSM973621,GSM973622,GSM973623,GSM973624,GSM973625,GSM973626,GSM973627,GSM973628,GSM973629,GSM973630,GSM973631,GSM973632,GSM973633,GSM973634,GSM973635,GSM973636,GSM973637,GSM973638,GSM973639,GSM973640,GSM973641,GSM973642,GSM973643,GSM973644,GSM973645,GSM973646,GSM973647,GSM973648,GSM973649,GSM973650,GSM973651,GSM973652,GSM973653,GSM973654,GSM973655,GSM973656,GSM973657,GSM973658,GSM973659,GSM973660
B cells,0.0824121962548629,0.0551611111651237,-0.000718869943642397,-0.000213438914043142,0.0821763303401134,0.0254781577767954,0.0489392269311636,0.0399411960630577,-0.190651667168055,0.041220200090492,0.0852049796365525,0.0578932681188129,0.0407006106337578,0.0244873560367303,0.0371876307088174,0.000418447572544934,0.0423286329299108,0.01374006553928,-0.00972844542515173,0.0278839035356852,0.0550270635126104,0.0954447048816692,0.0503703053039924,0.0605141824588762,0.0471334939662666,0.0290703119589048,0.026295716367201,0.0299048162316524,0.0439090481455477,0.0204559814555981,0.0326407454496788,0.0655264251832106,0.019594856943246,0.10477681682826,0.00591654535678632,-0.000552948630558821,0.0424174286686053,0.0186823869413787,0.0212112407029913,0.0486569785758659
Memory B cells,0.152361437610963,0.114954500843788,0.0577076628838036,0.0364856569838991,0.104367344470552,0.0704148224825105,0.110126865958234,0.10536073651762,0.0235189703515362,0.099178792068829,0.136812603054992,0.105643191457669,0.111467592978285,0.0785354630822811,0.125114409011965,0.0472803057554438,0.0487712530968602,0.0209357911787448,0.0249084824358668,0.0952016347755553,0.0747173359650575,0.14974498653629,0.0350245849831801,0.112237075020097,0.0616442777277803,0.121472478503818,0.0688791486180974,0.114975342976736,0.123590885221776,0.0750941776371837,0.119795479321537,0.11291957153388,0.0758986599786131,0.19517487165663,0.0652414147378392,0.0454684444539557,0.145978099799032,0.131956584589599,0.0916580777928144,0.0502555900046931
Plasma cells,0.122484450184222,0.215877056695464,-0.0725403865655716,-0.0888672846174865,0.1495737129172,0.00501453489782402,0.0301217122854683,0.030688796836493,-0.0145821094659239,0.0317093781160745,0.135508009519844,0.0451872965241165,-0.0640577727573209,-0.107150415150051,-0.0701952157267014,-0.0775674461641827,-0.15648930767126,-0.130494506282493,-0.149024925089016,-0.138607173041049,-0.113724317806411,0.0666131404876102,-0.131048320431227,0.012295155089173,-0.116173112903422,-0.150996330490701,-0.0758443174803235,0.00110986225369658,-0.0167775074584464,-0.110508367569033,-0.0538682135626091,-0.0976979741965555,-0.176584729849112,0.158624842330162,-0.0757562303762238,-0.142986540588697,0.0401724210318683,-0.0959404403360175,-0.0775658375476278,-0.0649220434862232
T cells,0.0242300610466532,-0.100557436966579,0.00268294390275431,-0.109321300152185,0.0092001565732552,-0.172934231824483,-0.051464664632954,0.0596147457987568,-0.196923809133782,-0.18422443069449,-0.0523076330509653,-0.0840319775823652,-0.174343481324753,-0.172482930908626,-0.0225891665949365,-0.163970200415428,-0.2137291118249,-0.179313946739865,-0.213999633275613,-0.232854738272193,-0.15853048233519,0.187335230708028,-0.115631838293872,0.115992913328056,-0.154073620807562,-0.101911883077099,0.0563920408215712,-0.00661484249629292,0.100652342534362,-0.209722193771927,-0.169135354582184,-0.149839640596203,-0.150175981826104,0.292714760301524,-0.130672265331154,-0.304790678132327,0.0161426005765122,-0.111789336475514,-0.0713592569058631,-0.0724254792019113
CD8 T cells,0.0899655287466015,-0.0314450277021627,-0.00395630799395395,-0.115859589147184,0.0716357368090056,-0.0317411972998962,0.00947928224768468,0.076784299770033,-0.17025682082249,-0.119490424872049,0.00536337169772949,-0.017053294734671,-0.107124467885038,-0.108094554863988,0.00854643453462935,-0.102304089880407,-0.155195870918403,-0.143147021926316,-0.150249856865107,-0.148987520939999,-0.077148175614932,0.235667016185352,-0.07012323926901,0.116376450737973,-0.081826638710497,-0.00926617239925882,0.101613332261049,0.0698529551967555,0.154950151985507,-0.155763435323152,-0.0947876878242751,-0.0975807759864568,-0.0786279508640583,0.294684850464636,-0.0654821606994694,-0.257479976222498,0.0936030248700234,-0.0701849983241962,-0.0317187448977741,-0.0356702415957596
CD4 T cells,0.158046814869816,0.11573330306983,0.194729593487445,0.147587535398271,0.133639366504517,0.120541297022278,0.18340914267312,0.238468447481185,-0.00445513742829235,0.135465743084996,0.207643416414928,0.194271063747882,0.132742253879341,0.137914823936137,0.198309146931239,0.127796751770855,0.11286894281647,0.110991345004242,0.11635431887159,0.0901457739463331,0.178191434350381,0.32241887899582,0.148139039444282,0.311579758539253,0.126917590259853,0.171629829647641,0.229474761951738,0.220244369648707,0.260098078236705,0.115805402955327,0.1946401520018,0.167421449818966,0.126273487709089,0.391880812005797,0.12016747248471,0.0662041565155401,0.225310371863793,0.195558546344077,0.188590809494331,0.184562345988329
T helper cells,0.0295384947765933,0.00122096783105674,0.0590783488296196,0.0143590503466927,0.0273534314471564,0.00223712230603903,0.0474479321815845,0.096542415169881,-0.151710040115591,0.0264999867501986,0.0930932602402103,0.0709630721275915,0.0260713752347929,0.0187099954996442,0.0650970958707731,0.00962095973379366,-0.00564476484492621,-0.0114558505157348,0.00142323909638969,-0.0209060599465629,0.0675404782815939,0.168699088288375,0.0221895658828001,0.171013543909562,0.00538232390832719,0.0440820281378245,0.0936627571473498,0.0904498932334732,0.113608557390598,-0.00877395159990111,0.106734261718258,0.0673546653319525,0.0110874240913245,0.231228898296247,-0.0100649952900643,-0.0439928184773328,0.0967963897020728,0.0841934315317752,0.0687875924102309,0.0608099416075269
Th1 cells,-0.0532935073123704,-0.151738819890196,-0.158647187330683,-0.227079964340024,-0.0857139213058521,-0.161979967957613,-0.0904488481531451,-0.158402068047558,-0.266696163196561,-0.223689812902577,-0.191081131375255,-0.143530014240964,-0.214533948116199,-0.256532290599032,-0.186954498077553,-0.220874079629249,-0.211783158463116,-0.253428749501237,-0.229275987481857,-0.246538798016663,-0.177044393873906,-0.127399717500339,-0.181792352989793,-0.131744544399846,-0.201861814249259,-0.178232430210213,-0.174469572055138,-0.168006119618215,-0.130949484834297,-0.259378798663069,-0.179924466302397,-0.245786772019944,-0.249974303566503,-0.0332547014368567,-0.246110337390649,-0.299117823892,-0.122744687198943,-0.218514227110394,-0.135861209610975,-0.195006264760464
Th2 cells,0.051556860814749,0.109419853413694,0.0480993572236233,0.0163267104336943,0.0453322983304404,0.0658491935451373,0.0537604238893832,0.0453913508615089,0.058753699485342,-0.00424628987753561,0.0432346105784652,0.00381573110934924,0.0158177289610732,-0.00446872849245625,0.0215968262817686,-0.0386467044165689,-0.0170402014037305,-0.0304030098835507,0.0120597994419948,-0.0453244522186857,0.0250043091642872,0.0505389636503827,-0.0699528480526897,0.0238645201014322,-0.0252708373278563,0.0247916224635838,-0.00969508035891285,0.0242772870759471,0.0516980682813812,0.00695067849399461,0.00521035717126199,0.0132650424003922,0.0331578399754138,0.0842319728613865,-0.0284302726187779,-0.0488810185182007,0.0172806572805617,0.051809192794435,-0.00393562452788715,0.00308866497515039
Th17 cells,-0.0607380047442704,-0.152002699254936,-0.0952599260018928,-0.111652161692844,-0.0802306149899456,-0.109670481255628,-0.1212255844543,-0.0260400844825583,-0.197443370337709,-0.16408269656922,-0.152061298177284,-0.151797500399454,-0.162754552967447,-0.203776850345231,-0.159035531163736,-0.159024394807229,-0.203633636219936,-0.200092520567022,-0.12619647377067,-0.18909571211183,-0.17290375474258,-0.0808345415481935,-0.160386500555918,-0.019527117534109,-0.148581617157679,-0.164028227086748,-0.0904418813550726,-0.0809881798575447,-0.112634625876198,-0.14611931793556,-0.0564692824716204,-0.183056774134442,-0.181644737608035,0.0528621598500682,-0.164588685846309,-0.21127403527141,-0.146878250803319,-0.14899678683247,-0.178426291852793,-0.181196228508955
