"cohort","cell_type","n_samples","spearman_r"
"GSE39645","Schwann/肿瘤细胞",40,0.908630393996248
"GSE39645","巨噬/髓系",40,0.836772983114447
"GSE39645","T细胞",40,0.878048780487805
"GSE39645","成纤维",40,0.759099437148218
"GSE39645","内皮",40,0.704878048780488
"GSE39645","周细胞",40,0.756472795497186
"GSE108524","Schwann/肿瘤细胞",31,0.906451612903226
"GSE108524","巨噬/髓系",31,0.90272498028432
"GSE108524","T细胞",31,NA
"GSE108524","成纤维",31,0.474137271826781
"GSE108524","内皮",31,0.207661290322581
"GSE108524","周细胞",31,0.522685766636658
