"module","moduleSize","medianRank","Zsummary","Zdensity","Zconnectivity"
"brown",747,3,47.3515293478348,73.9724567974525,20.7306018982171
"yellow",294,2,37.1269312557128,63.522996827205,10.7308656842206
"gold",1000,9,18.5157211229944,9.38562524046237,27.6458170055264
"green",204,4,16.6137897295948,17.6119501711174,15.6156292880721
"blue",749,7,15.8017174766105,20.3468650254921,11.2565699277289
"pink",46,1,14.6999457002987,21.2457980128754,8.15409338772202
"turquoise",1000,8,14.1026831389254,11.653796251969,16.5515700258818
"black",114,4,12.9197988997781,13.1719380595069,12.6676597400493
"grey",294,10,7.43041240008973,1.87361698892973,12.9872078112497
"red",152,8,5.50199013292032,8.1342599422271,2.86972032361354
