"gene","bulk_logFC","bulk_adjP","module","direction","kME","validation_logFC","direction_concordant","pb_dominant_celltype","pb_log2FC","pb_p","pb_class","composition_adj_class","validation_logFC_full","cross_cohort_concordant","ev_bulk_sig","ev_cross_conc","ev_hub","ev_pb_intrinsic","ev_adj_retain","evidence_layer_count"
"ATF7IP2",2.0202601556222,3.6663604712091e-14,"turquoise","up",0.832601556794373,1.90816216666667,TRUE,"Myeloid",0.783083722897194,0.00259139928626532,"both","retained",1.90816216666667,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"PRRX1",-3.02065103459599,3.67098947497177e-14,"yellow","down",0.898201475047252,-3.06850624074074,TRUE,"Fibroblast",-2.08493128295668,1.48246223353783e-05,"both","retained",-3.06850624074074,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"PLA2G2A",-2.75044678238088,7.37828481612949e-13,"yellow","down",0.846656882176507,-1.18038741666667,TRUE,"Fibroblast",-0.727454470557404,1.98337682623839e-06,"both","retained",-1.18038741666667,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"PAK3",-2.11744213773169,1.40080522026195e-11,"yellow","down",0.898148165588459,-4.53025933333333,TRUE,"Fibroblast",-2.52101187934565,0.000774935409193424,"both","retained",-4.53025933333333,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"MFSD11",1.16849534049036,3.46713102061669e-11,"turquoise","up",0.900127716117484,0.421106675925926,TRUE,"Myeloid",8.15032048839475e-06,0.0403911368736371,"both","retained",0.421106675925926,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"FABP4",-3.92368937910717,8.13447404227783e-11,"yellow","down",0.882669649130973,-6.69622660185185,TRUE,"Endothelial",-1.33065091156793e-06,0.0187817704324611,"both","retained",-6.69622660185185,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"FBLN1",-2.17751430224903,8.75352537781351e-11,"yellow","down",0.911138238240495,-2.24418005555555,TRUE,"Fibroblast",-3.07429333330082,0.0066300966118776,"both","retained",-2.24418005555555,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"FRMD4A",1.31134645728836,2.23203617420076e-10,"turquoise","up",0.837083948324733,1.96259197222222,TRUE,"Myeloid",5.17834976818283e-06,0.0157238840787033,"both","retained",1.96259197222222,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"FIBIN",-2.03742797157209,4.61074608648906e-10,"yellow","down",0.893274649908553,-4.10552119444445,TRUE,"Fibroblast",-2.16404259698404,0.00130774208624048,"both","retained",-4.10552119444444,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"WIPI1",1.46265592002236,1.17889672843627e-09,"turquoise","up",0.86393044979846,1.81756481481481,TRUE,"Schwann/tumour",0.639359034651465,0.004534906108584,"both","retained",1.81756481481481,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"ANGPT1",-1.80783951236546,1.60610931930996e-09,"yellow","down",0.842460697430176,-3.54108008333333,TRUE,"Pericyte",-0.744018101229349,0.0275034331232771,"both","retained",-3.54108008333333,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"MID1",1.85780204931535,2.57082820493483e-09,"turquoise","up",0.850696429138463,2.77630569444444,TRUE,"Schwann/tumour",2.2311907297856e-06,0.0323711217964104,"both","retained",2.77630569444444,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"MFAP5",-3.22974550088049,4.56175743003848e-09,"yellow","down",0.88192310718836,-9.09594585185185,TRUE,"Fibroblast",-5.62526824853642,4.26888865393061e-10,"both","retained",-9.09594585185185,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5
